stitch_id,umls_cui,frequency_lower,frequency_upper
CID000010917,C0000729,,
CID000010917,C0000737,,
CID000010917,C0002418,,
CID000010917,C0002871,,
CID000010917,C0003123,,
CID000010917,C0003467,,
CID000010917,C0003811,,
CID000010917,C0004093,,
CID000010917,C0004238,,
CID000010917,C0004604,,
CID000010917,C0006277,,
CID000010917,C0007222,,
CID000010917,C0008031,,
CID000010917,C0009450,,
CID000010917,C0009806,,
CID000010917,C0010200,,
CID000010917,C0011570,,
CID000010917,C0011991,,
CID000010917,C0012833,,
CID000010917,C0013378,,
CID000010917,C0013395,,
CID000010917,C0013404,,
CID000010917,C0015230,,
CID000010917,C0015397,,
CID000010917,C0015967,,
CID000010917,C0017152,,
CID000010917,C0017178,,
CID000010917,C0018681,,
CID000010917,C0019080,,
CID000010917,C0020437,,
CID000010917,C0020461,,
CID000010917,C0020517,,
CID000010917,C0020538,,
CID000010917,C0020649,,
CID000010917,C0021400,,
CID000010917,C0023218,,
CID000010917,C0025222,,
CID000010917,C0026826,,
CID000010917,C0027497,,
CID000010917,C0030193,,
CID000010917,C0030252,,
CID000010917,C0030517,,
CID000010917,C0030554,,
CID000010917,C0031350,,
CID000010917,C0033774,,
CID000010917,C0035078,,
CID000010917,C0035455,,
CID000010917,C0036572,,
CID000010917,C0037199,,
CID000010917,C0039231,,
CID000010917,C0042029,,
CID000010917,C0042373,,
CID000010917,C0042571,,
CID000010917,C0042963,,
CID000010917,C0043094,,
CID000010917,C0043096,,
CID000010917,C0085595,,
CID000010917,C0085649,,
CID000010917,C0151735,,
CID000010917,C0151736,,
CID000010917,C0152020,,
CID000010917,C0231528,,
CID000010917,C0426576,,
CID000010917,C0522055,,
CID000010917,C0546817,,
CID000010917,C0917801,,
CID000010917,C0947912,,
CID000010917,C1510472,,
CID000000119,C0002792,,
CID000000119,C0002994,,
CID000000119,C0030193,,
CID000000119,C0042109,,
CID000000119,C0863083,,
CID000000137,C0002871,,
CID000000137,C0003537,,
CID000000137,C0004936,,
CID000000137,C0006118,,
CID000000137,C0009450,,
CID000000137,C0011991,,
CID000000137,C0013604,,
CID000000137,C0015230,,
CID000000137,C0015256,,
CID000000137,C0015397,,
CID000000137,C0015967,,
CID000000137,C0017178,,
CID000000137,C0017638,,
CID000000137,C0018681,,
CID000000137,C0018799,,
CID000000137,C0018979,,
CID000000137,C0018989,,
CID000000137,C0019080,,
CID000000137,C0019348,,
CID000000137,C0020429,,
CID000000137,C0020580,,
CID000000137,C0020649,,
CID000000137,C0023518,,
CID000000137,C0027497,,
CID000000137,C0027651,,
CID000000137,C0027765,,
CID000000137,C0027769,,
CID000000137,C0030193,,
CID000000137,C0030554,,
CID000000137,C0031256,,
CID000000137,C0033774,,
CID000000137,C0035229,,
CID000000137,C0036508,,
CID000000137,C0036572,,
CID000000137,C0037274,,
CID000000137,C0038814,,
CID000000137,C0040034,,
CID000000137,C0040038,,
CID000000137,C0041582,,
CID000000137,C0041834,,
CID000000137,C0042373,,
CID000000137,C0042963,,
CID000000137,C0085593,,
CID000000137,C0085641,,
CID000000137,C0151505,,
CID000000137,C0151662,,
CID000000137,C0151717,,
CID000000137,C0151904,,
CID000000137,C0151905,,
CID000000137,C0151908,,
CID000000137,C0162285,,
CID000000137,C0162830,,
CID000000137,C0162834,,
CID000000137,C0162835,,
CID000000137,C0178298,,
CID000000137,C0205204,,
CID000000137,C0221232,,
CID000000137,C0234215,,
CID000000137,C0234233,,
CID000000137,C0237849,,
CID000000137,C0241157,,
CID000000137,C0241166,,
CID000000137,C0267792,,
CID000000137,C0311468,,
CID000000137,C0332534,,
CID000000137,C0349506,,
CID000000137,C0392197,,
CID000000137,C0392699,,
CID000000137,C0406834,,
CID000000137,C0423791,,
CID000000137,C0521490,,
CID000000137,C0677500,,
CID000000137,C0699893,,
CID000000137,C0702166,,
CID000000137,C0851341,,
CID000000137,C0851353,,
CID000000137,C0852913,,
CID000000137,C0857807,,
CID000000137,C0870082,,
CID000000137,C0920193,,
CID000000137,C1527311,,
CID000000137,C1698818,,
CID000000137,C2939147,,
CID000000143,C0002170,,
CID000000143,C0003123,,
CID000000143,C0009450,,
CID000000143,C0009806,,
CID000000143,C0011603,,
CID000000143,C0011991,,
CID000000143,C0015230,,
CID000000143,C0015376,,
CID000000143,C0015672,,
CID000000143,C0020517,,
CID000000143,C0023380,,
CID000000143,C0023530,,
CID000000143,C0027497,,
CID000000143,C0033774,,
CID000000143,C0036572,,
CID000000143,C0038362,,
CID000000143,C0040034,,
CID000000143,C0041834,,
CID000000143,C0042109,,
CID000000143,C0042963,,
CID000000143,C0043144,,
CID000000143,C0231218,,
CID000000143,C0340865,,
CID000000143,C0700225,,
CID000000143,C0746883,,
CID000000143,C1325847,,
CID000000143,C2609414,,
CID000006006,C0002170,,
CID000006006,C0003123,,
CID000006006,C0009450,,
CID000006006,C0009806,,
CID000006006,C0011603,,
CID000006006,C0011991,,
