drugbank_id,entrez_id,evidence
DB00514,1136,DrugBank (target)
DB00686,2246,DrugBank (target)
DB00786,4317,ChEMBL;DrugBank (target)
DB01209,4988,DrugBank (target);DrugCentral (ChEMBL)
DB01588,2560,DrugBank (target)
DB00175,1577,DrugBank (enzyme)
DB00813,100861540,DrugBank (enzyme)
DB00869,765,BindingDB;ChEMBL
DB00172,11212,DrugBank (target)
DB01250,240,DrugCentral (ChEMBL)
DB00313,5742,DrugBank (enzyme)
DB00217,3758,DrugBank (target)
DB06262,6530,DrugBank (transporter)
DB01115,8912,DrugBank (target)
DB00213,1544,DrugBank (enzyme)
DB00203,1576,DrugBank (enzyme)
DB00150,10352,DrugBank (enzyme);DrugBank (target)
DB00909,6328,DrugBank (target)
DB00847,4887,DrugBank (target)
DB00451,353189,DrugBank (transporter)
DB00575,148,DrugBank (target)
DB01218,1558,DrugBank (enzyme)
DB06716,213,DrugBank (carrier)
DB01364,6571,DrugBank (target)
DB01559,2561,DrugBank (target)
DB00502,1815,ChEMBL
DB00715,1132,DrugBank (target)
DB01133,5770,DrugBank (target)
DB00390,480,DrugCentral (ChEMBL)
DB01086,6332,DrugCentral (literature)
DB00334,147,DrugBank (target)
DB00975,5147,DrugCentral (ChEMBL)
DB01332,6564,DrugBank (transporter)
DB00786,4316,DrugBank (target)
DB00381,1558,DrugBank (enzyme)
DB00536,9132,DrugCentral (ChEMBL)
DB01065,1588,DrugBank (enzyme)
DB00594,6339,DrugBank (target)
DB00194,135,ChEMBL
DB01236,2559,DrugCentral (ChEMBL)
DB00907,6336,DrugBank (target)
DB00289,6532,ChEMBL;DrugBank (target);PDSP Ki
DB00619,147746,ChEMBL
DB00323,1312,DrugBank (target);DrugCentral (ChEMBL)
DB00568,8913,DrugBank (target)
DB00655,1559,DrugBank (enzyme)
DB01123,2147,DrugBank (target)
DB01032,56606,DrugBank (transporter)
DB00316,1268,DrugCentral (literature)
DB01233,1585,DrugBank (enzyme)
DB04855,5243,DrugBank (transporter)
DB00917,1583,DrugBank (enzyme)
DB04877,5243,DrugBank (target)
DB08877,659,ChEMBL
DB06287,2280,DrugCentral (ChEMBL)
DB00215,1128,DrugBank (target)
DB01144,768,BindingDB;ChEMBL
DB00115,166785,DrugBank (target)
DB01268,11329,ChEMBL
DB00327,1559,DrugBank (enzyme)
DB01015,54600,DrugBank (enzyme)
DB00673,100861540,DrugBank (enzyme)
DB01296,7124,DrugBank (target)
DB06616,11200,ChEMBL
DB00738,1565,DrugBank (enzyme)
DB00440,5243,DrugBank (transporter)
DB01151,3358,DrugBank (target);PDSP Ki
DB01110,10242,DrugBank (target)
DB00703,1571,DrugBank (enzyme)
DB00300,1544,DrugBank (enzyme)
DB00751,5243,DrugBank (transporter)
DB01254,695,ChEMBL;PubChem
DB00492,1636,DrugBank (target);DrugCentral (ChEMBL)
DB00404,2562,DrugCentral (ChEMBL)
DB01242,1576,DrugBank (enzyme)
DB00233,4353,DrugBank (enzyme)
DB08795,6564,DrugBank (transporter)
DB00255,1548,DrugBank (enzyme)
DB01087,1543,DrugBank (enzyme)
DB00471,5742,DrugBank (enzyme)
DB00371,1557,DrugBank (enzyme)
DB00130,343641,DrugBank (enzyme)
DB00619,759,ChEMBL
DB00915,6582,DrugBank (transporter)
DB00334,3362,ChEMBL;DrugBank (target)
DB00583,1384,DrugBank (target)
DB04842,153,PDSP Ki
DB01173,116443,DrugBank (target)
DB01149,147,DrugBank (target)
DB00669,9429,DrugBank (transporter)
DB00570,10382,DrugCentral (literature)
DB00228,1571,DrugBank (enzyme)
DB01576,147,DrugBank (target)
DB00537,1551,DrugBank (enzyme)
DB00723,148,DrugBank (target);DrugCentral (ChEMBL)
DB00471,240,DrugBank (target)
DB01198,1571,DrugBank (enzyme)
DB00917,1544,DrugBank (enzyme)
DB00917,9376,DrugBank (transporter)
DB00975,5138,DrugCentral (ChEMBL)
DB01248,28234,DrugBank (transporter)
DB00983,1557,DrugBank (enzyme)
DB00867,5226,DrugBank (enzyme)
DB00549,1557,DrugBank (enzyme)
DB00093,552,DrugBank (target);DrugCentral (literature)
DB01094,1545,ChEMBL
DB01594,200959,DrugBank (target)
DB00794,1555,DrugBank (enzyme)
DB01131,1559,DrugBank (enzyme)
DB01075,1129,PDSP Ki
DB09028,1139,DrugBank (target)
DB01088,5142,DrugBank (target)
DB00279,6554,DrugBank (transporter)
DB00753,1571,DrugBank (enzyme)
DB06616,7301,ChEMBL
DB01544,1576,DrugBank (enzyme)
DB01029,1576,DrugBank (enzyme)
DB00123,6545,DrugBank (target)
DB00273,765,BindingDB;ChEMBL
DB01628,1559,DrugBank (enzyme)
DB00540,3350,DrugBank (target);PDSP Ki
DB00458,1544,DrugBank (enzyme)
DB00835,1132,DrugBank (target)
DB01108,3284,DrugBank (target);DrugCentral (ChEMBL)
DB04861,3350,PDSP Ki
DB08828,5004,DrugBank (carrier)
DB00624,1588,ChEMBL;DrugBank (enzyme)
DB00921,1558,DrugBank (enzyme)
DB01254,2048,ChEMBL;PubChem
DB00154,5742,DrugBank (target)
DB00145,92292,DrugBank (target)
DB00158,8714,DrugBank (transporter)
DB06616,25,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB00405,3757,ChEMBL
DB00997,1555,DrugBank (enzyme)
DB00651,5144,DrugBank (target)
DB00738,6285,ChEMBL
DB00583,54677,DrugBank (target)
DB00567,6564,DrugBank (transporter)
DB00536,6584,DrugBank (transporter)
DB01248,10864,DrugBank (transporter)
DB00530,80122,ChEMBL
DB00608,1577,DrugBank (enzyme)
DB08804,1588,DrugBank (enzyme)
DB00278,2147,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB08834,6579,DrugBank (transporter)
DB00332,1131,DrugBank (target);DrugCentral (ChEMBL)
DB06616,659,ChEMBL
DB01229,596,DrugBank (target)
DB00289,1576,DrugBank (enzyme)
DB01186,148,DrugBank (target)
DB01045,8647,DrugBank (transporter)
DB01223,1544,DrugBank (enzyme)
DB00988,3350,DrugBank (target)
DB00289,3356,PDSP Ki
DB00619,761,ChEMBL
DB06148,6532,DrugBank (target)
DB01238,1565,DrugBank (enzyme)
DB01327,213,DrugBank (carrier)
DB06795,765,DrugBank (target)
DB00420,1576,DrugBank (enzyme)
DB06589,9429,DrugBank (transporter)
DB00945,5743,DrugBank (target);DrugCentral (ChEMBL)
DB01037,1555,DrugBank (enzyme)
DB08873,1577,DrugBank (enzyme)
DB04855,3757,ChEMBL;DrugBank (target)
DB00543,1128,DrugBank (target)
DB00726,5243,DrugBank (transporter)
DB08981,5743,DrugCentral (literature)
DB06589,1544,DrugBank (enzyme)
DB08865,7294,ChEMBL
DB00774,768,BindingDB;DrugBank (target)
DB00647,4986,DrugBank (target)
DB00356,1544,DrugBank (enzyme)
DB04946,1815,DrugBank (target)
DB00586,4363,DrugBank (transporter)
DB00748,1558,DrugBank (enzyme)
DB00458,1133,DrugBank (target)
DB06616,1436,ChEMBL
DB05294,558,ChEMBL
DB01076,28234,DrugBank (transporter)
DB01151,154,DrugBank (target)
DB04868,23632,ChEMBL
DB00882,1588,DrugBank (enzyme)
DB01136,7498,DrugBank (enzyme)
DB01085,1128,DrugBank (target)
DB01065,805,DrugBank (target)
DB00160,57505,DrugBank (target)
DB01621,1812,DrugBank (target)
DB00908,1544,DrugBank (enzyme)
DB00270,779,DrugBank (target)
DB00908,1129,PDSP Ki
DB01236,338567,DrugCentral (ChEMBL)
DB00196,5243,DrugBank (transporter)
DB00451,6579,DrugBank (transporter)
DB08865,285220,ChEMBL
DB00604,1548,DrugBank (enzyme)
DB00753,2561,DrugCentral (ChEMBL)
DB00801,2569,DrugBank (target)
DB01280,1716,DrugBank (enzyme)
DB00620,5743,DrugBank (enzyme)
DB00679,3358,PDSP Ki
DB01100,1571,DrugBank (enzyme)
DB00909,377677,DrugBank (target)
DB00398,5894,DrugBank (target);DrugCentral (ChEMBL)
DB00935,151,DrugBank (target);DrugCentral (literature)
DB04855,1565,DrugBank (enzyme)
DB01110,3778,DrugBank (target)
DB00145,140679,DrugBank (target)
DB00619,55244,ChEMBL
DB00523,6258,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
