chembl_id,uniprot,mechanism,action_type
CHEMBL19,P43166,Carbonic anhydrase VII inhibitor,INHIBITOR
CHEMBL1201117,P00915,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL1200814,P00915,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL17,P00915,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL20,P00915,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL19,P00915,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL1450,Q02768,Cytochrome b inhibitor,INHIBITOR
CHEMBL1200771,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1722209,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1240,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200906,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1724,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1626570,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200880,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200479,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1768,P20309,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL1578,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL2146146,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL517712,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200604,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200803,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200935,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL551466,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200764,P20309,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL3545181,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1201765,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200473,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1184,P20309,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL14,P20309,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL550,P20309,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL1200330,P20309,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL2218917,P20309,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL1200950,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL2134724,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1354199,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1231,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1133,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200891,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1201027,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200347,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL3084748,P20309,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL3989514,P11387,DNA topoisomerase I inhibitor,INHIBITOR
CHEMBL1201421,P15692,Vascular endothelial growth factor A antagonist,ANTAGONIST
CHEMBL1201825,P15692,Vascular endothelial growth factor A inhibitor,INHIBITOR
CHEMBL1742982,P15692,Vascular endothelial growth factor A inhibitor,INHIBITOR
CHEMBL1201583,P15692,Vascular endothelial growth factor A inhibitor,INHIBITOR
CHEMBL4084119,P43220,Glucagon-like peptide 1 receptor agonist,AGONIST
CHEMBL414357,P43220,Glucagon-like peptide 1 receptor agonist,AGONIST
CHEMBL1200826,P29218,Inositol-1(or 4)-monophosphatase 1 inhibitor,INHIBITOR
CHEMBL2103738,P29218,Inositol-1(or 4)-monophosphatase 1 inhibitor,INHIBITOR
CHEMBL1201528,P30518,Vasopressin V2 receptor agonist,AGONIST
CHEMBL344159,P30518,Vasopressin V2 receptor antagonist,ANTAGONIST
CHEMBL1201108,P30518,Vasopressin V2 receptor antagonist,ANTAGONIST
CHEMBL5314380,P35346,Somatostatin receptor 5 agonist,AGONIST
CHEMBL1201184,P35346,Somatostatin receptor 5 agonist,AGONIST
CHEMBL525610,Q03431,Parathyroid hormone receptor agonist,AGONIST
CHEMBL1201549,Q03431,Parathyroid hormone receptor agonist,AGONIST
CHEMBL175247,P07098,Gastric lipase inhibitor,INHIBITOR
CHEMBL603,Q9Y271,Cysteinyl leukotriene receptor 1 antagonist,ANTAGONIST
CHEMBL1200681,Q9Y271,Cysteinyl leukotriene receptor 1 antagonist,ANTAGONIST
CHEMBL1201662,P00734,Thrombin inhibitor,INHIBITOR
CHEMBL5314348,P00734,Thrombin inhibitor,INHIBITOR
CHEMBL1201666,P00734,Thrombin inhibitor,INHIBITOR
CHEMBL1615369,P00734,Thrombin inhibitor,INHIBITOR
CHEMBL1166,P00734,Thrombin inhibitor,INHIBITOR
CHEMBL2108791,P00750,Tissue-type plasminogen activator exogenous protein,EXOGENOUS PROTEIN
CHEMBL2108147,P00747,Plasminogen activator,ACTIVATOR
CHEMBL2107885,P00750,Tissue-type plasminogen activator exogenous protein,EXOGENOUS PROTEIN
CHEMBL1201420,P00749,Urokinase-type plasminogen activator exogenous protein,EXOGENOUS PROTEIN
CHEMBL1201619,P00747,Plasminogen inhibitor,INHIBITOR
CHEMBL1201593,P00750,Tissue-type plasminogen activator exogenous protein,EXOGENOUS PROTEIN
CHEMBL877,P00747,Plasminogen inhibitor,INHIBITOR
CHEMBL1046,P00747,Plasminogen inhibitor,INHIBITOR
CHEMBL220491,P00918,Carbonic anhydrase II inhibitor,INHIBITOR
CHEMBL1201162,P00918,Carbonic anhydrase II inhibitor,INHIBITOR
CHEMBL17,P00918,Carbonic anhydrase II inhibitor,INHIBITOR
CHEMBL19,P00918,Carbonic anhydrase II inhibitor,INHIBITOR
CHEMBL220492,P00918,Carbonic anhydrase II inhibitor,INHIBITOR
CHEMBL20,P00918,Carbonic anhydrase II inhibitor,INHIBITOR
CHEMBL1200814,P00918,Carbonic anhydrase II inhibitor,INHIBITOR
CHEMBL5314380,P30874,Somatostatin receptor 2 agonist,AGONIST
CHEMBL1201184,P30874,Somatostatin receptor 2 agonist,AGONIST
CHEMBL1201003,P30939,Serotonin 1f (5-HT1f) receptor agonist,AGONIST
CHEMBL1200521,P30939,Serotonin 1f (5-HT1f) receptor agonist,AGONIST
CHEMBL1200645,P11388,DNA topoisomerase II alpha inhibitor,INHIBITOR
CHEMBL1200475,P11388,DNA topoisomerase II alpha inhibitor,INHIBITOR
CHEMBL1563,P11388,DNA topoisomerase II alpha inhibitor,INHIBITOR
CHEMBL359744,P11388,DNA topoisomerase II alpha inhibitor,INHIBITOR
CHEMBL1417019,P11388,DNA topoisomerase II alpha inhibitor,INHIBITOR
CHEMBL1096885,P11388,DNA topoisomerase II alpha inhibitor,INHIBITOR
CHEMBL1200976,P11388,DNA topoisomerase II alpha inhibitor,INHIBITOR
CHEMBL1201011,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1519,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1200534,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL3989406,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1168,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL3039596,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1694,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1560,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1200343,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL419213,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1200659,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1200831,P12821,Angiotensin-converting enzyme inhibitor,INHIBITOR
CHEMBL1472,P34981,Thyrotropin-releasing hormone receptor agonist,AGONIST
CHEMBL495,P34995,Prostanoid EP1 receptor agonist,AGONIST
CHEMBL98,Q13547,Histone deacetylase 1 inhibitor,INHIBITOR
CHEMBL175247,P16233,Pancreatic lipase inhibitor,INHIBITOR
CHEMBL1963684,P19235,Erythropoietin receptor agonist,AGONIST
CHEMBL1201565,P19235,Erythropoietin receptor agonist,AGONIST
CHEMBL1201566,P19235,Erythropoietin receptor agonist,AGONIST
CHEMBL1643,P20839,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,INHIBITOR
CHEMBL1201585,P04626,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR
CHEMBL2007641,P04626,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR
CHEMBL1743082,P04626,Receptor protein-tyrosine kinase erbB-2 binding agent,BINDING AGENT
CHEMBL1201179,P04626,Receptor protein-tyrosine kinase erbB-2 inhibitor,INHIBITOR
CHEMBL1201659,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL3989885,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200491,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200497,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200618,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1716,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL3544908,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200638,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200750,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200809,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200961,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201006,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1607273,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1719,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200532,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200927,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL998,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1659,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200795,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1237102,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200967,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201068,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL3989555,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL3989520,P35367,Histamine H1 receptor agonist,AGONIST
CHEMBL1200974,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201747,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1224,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL3188034,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200769,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL3186993,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1172,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1620,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1653,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200392,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200446,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200550,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201190,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201759,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1564,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1633,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL2360580,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200406,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL2103739,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200959,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201089,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201023,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1200395,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1689,P35367,Histamine H1 receptor agonist,AGONIST
CHEMBL1200948,P35367,Histamine H1 receptor antagonist,ANTAGONIST
CHEMBL1201581,P01375,TNF-alpha inhibitor,INHIBITOR
CHEMBL1201831,P01375,TNF-alpha inhibitor,INHIBITOR
CHEMBL1201580,P01375,TNF-alpha inhibitor,INHIBITOR
CHEMBL1201572,P01375,TNF-alpha inhibitor,INHIBITOR
CHEMBL1201833,P01375,TNF-alpha inhibitor,INHIBITOR
CHEMBL779,O76074,Phosphodiesterase 5A inhibitor,INHIBITOR
CHEMBL1339,O76074,Phosphodiesterase 5A inhibitor,INHIBITOR
CHEMBL1737,O76074,Phosphodiesterase 5A inhibitor,INHIBITOR
CHEMBL1963681,O76074,Phosphodiesterase 5A inhibitor,INHIBITOR
CHEMBL98,O15379,Histone deacetylase 3 inhibitor,INHIBITOR
CHEMBL2359670,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL3989478,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1200951,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL567,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1200707,P14416,Dopamine D2 receptor modulator,MODULATOR
CHEMBL728,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1448187,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1201087,P14416,Dopamine D2 receptor agonist,AGONIST
CHEMBL1314751,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1200854,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL2360079,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL908,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1201102,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL3544974,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1112,P14416,Dopamine D2 receptor partial agonist,PARTIAL AGONIST
CHEMBL2107360,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL14376,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1201052,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1200940,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1200419,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1621,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1201,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL3989824,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL570,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL1200948,P14416,Dopamine D2 receptor antagonist,ANTAGONIST
CHEMBL4594248,P30988,Calcitonin receptor agonist,AGONIST
CHEMBL3989767,P30988,Calcitonin receptor agonist,AGONIST
CHEMBL2103795,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL995,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1513,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1069,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1200670,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1200692,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1014,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1200987,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1017,P30556,Type-1 angiotensin II receptor antagonist,ANTAGONIST
CHEMBL1200843,P41595,Serotonin 2b (5-HT2b) receptor partial agonist,PARTIAL AGONIST
CHEMBL1200938,P41595,Serotonin 2b (5-HT2b) receptor antagonist,ANTAGONIST
CHEMBL1201589,P01854,Ig epsilon chain C region inhibitor,INHIBITOR
CHEMBL1515,P07202,Thyroid peroxidase inhibitor,INHIBITOR
CHEMBL1518,P07202,Thyroid peroxidase inhibitor,INHIBITOR
CHEMBL1201506,P20138,Myeloid cell surface antigen CD33 binding agent,BINDING AGENT
CHEMBL1200748,P20711,DOPA decarboxylase inhibitor,INHIBITOR
CHEMBL1201733,P07333,Macrophage colony stimulating factor receptor inhibitor,INHIBITOR
CHEMBL1567,P07333,Macrophage colony stimulating factor receptor inhibitor,INHIBITOR
CHEMBL1201535,P35348,Alpha-1a adrenergic receptor agonist,AGONIST
CHEMBL24778,P35348,Alpha-1a adrenergic receptor antagonist,ANTAGONIST
CHEMBL1201044,P35348,Alpha-1a adrenergic receptor antagonist,ANTAGONIST
CHEMBL1200695,P35348,Alpha-1a adrenergic receptor agonist,AGONIST
CHEMBL1201827,P00533,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR
CHEMBL1201577,P00533,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR
CHEMBL1079742,P00533,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR
CHEMBL939,P00533,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR
CHEMBL1201179,P00533,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR
CHEMBL1009,P35462,Dopamine D3 receptor agonist,AGONIST
CHEMBL908,P35462,Dopamine D3 receptor antagonist,ANTAGONIST
CHEMBL928,P21817,Ryanodine receptor 1 antagonist,ANTAGONIST
CHEMBL64,P9WGR1,Enoyl-[acyl-carrier-protein] reductase inhibitor,INHIBITOR
CHEMBL1441,P9WGR1,Enoyl-[acyl-carrier-protein] reductase inhibitor,INHIBITOR
CHEMBL1201419,P22888,Luteinizing hormone/Choriogonadotropin receptor agonist,AGONIST
CHEMBL1201464,P22888,Luteinizing hormone/Choriogonadotropin receptor agonist,AGONIST
CHEMBL1201509,P22888,Luteinizing hormone/Choriogonadotropin receptor agonist,AGONIST
CHEMBL1201697,P22888,Luteinizing hormone/Choriogonadotropin receptor agonist,AGONIST
CHEMBL2103735,P30968,Gonadotropin-releasing hormone receptor antagonist,ANTAGONIST
CHEMBL1200671,P30968,Gonadotropin-releasing hormone receptor agonist,AGONIST
CHEMBL1200511,P30968,Gonadotropin-releasing hormone receptor agonist,AGONIST
CHEMBL1252,P30968,Gonadotropin-releasing hormone receptor antagonist,ANTAGONIST
CHEMBL2028987,P30968,Gonadotropin-releasing hormone receptor antagonist,ANTAGONIST
CHEMBL1200501,P30968,Gonadotropin-releasing hormone receptor agonist,AGONIST
CHEMBL1200509,P30968,Gonadotropin-releasing hormone receptor agonist,AGONIST
CHEMBL1200516,P30968,Gonadotropin-releasing hormone receptor agonist,AGONIST
CHEMBL1200554,P30968,Gonadotropin-releasing hormone receptor agonist,AGONIST
CHEMBL5314377,P30968,Gonadotropin-releasing hormone receptor antagonist,ANTAGONIST
CHEMBL1200775,P30968,Gonadotropin-releasing hormone receptor agonist,AGONIST
CHEMBL710,P31213,Steroid 5-alpha-reductase 2 inhibitor,INHIBITOR
CHEMBL93,P09917,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR
CHEMBL1200760,P09917,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR
CHEMBL1562610,P09917,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR
CHEMBL704,P09917,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR
CHEMBL1201013,P09917,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR
CHEMBL421,P09917,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR
CHEMBL1200906,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200347,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL2218917,P11229,Muscarinic acetylcholine receptor M1 agonist,AGONIST
CHEMBL1200880,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1240,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
