entrez_id,doid,evidence
3439,DOID:263,DISEASES
1462,DOID:1909,DOAF
1394,DOID:10763,DisGeNET
4313,DOID:2394,DISEASES
5021,DOID:12849,DISEASES;DOAF;DisGeNET
1387,DOID:10283,DisGeNET
3363,DOID:14330,DISEASES
8562,DOID:8850,DISEASES
5524,DOID:10652,DISEASES
2876,DOID:10763,DISEASES;DisGeNET
4524,DOID:14330,DOAF
9526,DOID:2986,GWAS Catalog
4982,DOID:1936,DISEASES;DOAF
51201,DOID:3571,DisGeNET
5241,DOID:6364,DOAF
5105,DOID:9970,DisGeNET
3600,DOID:12849,DisGeNET
1401,DOID:13378,DISEASES
4318,DOID:10534,DisGeNET
7124,DOID:8986,DISEASES
23411,DOID:10283,DisGeNET
7040,DOID:4989,DOAF
55858,DOID:2394,DISEASES
1111,DOID:2355,DOAF
8540,DOID:635,DISEASES
8702,DOID:10283,DisGeNET
56999,DOID:9352,DisGeNET;GWAS Catalog
7704,DOID:2531,DISEASES
3645,DOID:8850,DisGeNET
192286,DOID:3571,DisGeNET
492,DOID:10763,DisGeNET
51083,DOID:9744,DisGeNET
9375,DOID:2986,DisGeNET
4129,DOID:0050741,DISEASES
6737,DOID:9074,DISEASES
25797,DOID:1324,DISEASES
5551,DOID:2355,DisGeNET
598,DOID:10283,DISEASES
10397,DOID:3070,DisGeNET
8224,DOID:12849,DisGeNET
157807,DOID:9835,DISEASES
6351,DOID:635,DISEASES
6775,DOID:3083,DisGeNET
183,DOID:3393,DISEASES;DOAF;DisGeNET
6648,DOID:11476,DisGeNET
11127,DOID:3310,GWAS Catalog
1269,DOID:1936,DisGeNET
3440,DOID:2355,DisGeNET
2247,DOID:824,DisGeNET
56246,DOID:9008,DISEASES
6337,DOID:11612,DisGeNET
958,DOID:2377,DISEASES;DOAF;DisGeNET;GWAS Catalog
5141,DOID:2841,DISEASES
4363,DOID:10763,DisGeNET
2359,DOID:2986,DisGeNET
5068,DOID:4989,DISEASES
25865,DOID:11612,DisGeNET
4317,DOID:11934,DISEASES
51083,DOID:10763,DisGeNET
80142,DOID:1781,DisGeNET
1152,DOID:3393,DISEASES;DisGeNET
3908,DOID:10763,DisGeNET
84634,DOID:10534,DisGeNET
7030,DOID:4045,DISEASES
9,DOID:10283,DisGeNET
2650,DOID:10283,DisGeNET
1565,DOID:5419,DISEASES;DOAF
5657,DOID:7148,DISEASES
10847,DOID:8850,DisGeNET
6814,DOID:4989,DISEASES
3106,DOID:635,DOAF
92335,DOID:1319,DisGeNET
10745,DOID:1459,GWAS Catalog
891,DOID:2986,DisGeNET
2035,DOID:1909,DisGeNET
6723,DOID:2377,DISEASES
1571,DOID:3571,DISEASES;DisGeNET
3190,DOID:1612,DisGeNET
59272,DOID:1686,DisGeNET
2023,DOID:5041,DisGeNET
8871,DOID:1612,DisGeNET
11010,DOID:2986,DisGeNET
4879,DOID:2355,DOAF
6869,DOID:2841,DISEASES;DisGeNET
1672,DOID:9970,DisGeNET
3084,DOID:5419,DISEASES;DOAF
4893,DOID:2394,DISEASES
5728,DOID:1612,DISEASES;DisGeNET
389434,DOID:1459,DOAF
341,DOID:2986,DisGeNET
10419,DOID:2841,DisGeNET
920,DOID:2355,DISEASES
920,DOID:3310,DISEASES
10404,DOID:216,DISEASES
5445,DOID:3393,DISEASES
1361,DOID:9970,DisGeNET
367,DOID:12849,DisGeNET
4193,DOID:10283,DisGeNET
2697,DOID:10763,DisGeNET
55856,DOID:2596,DISEASES
2558,DOID:12849,DisGeNET
959,DOID:2377,DISEASES
2100,DOID:3393,DisGeNET
3567,DOID:4481,DISEASES
1956,DOID:2394,DISEASES;DisGeNET
51582,DOID:2986,DisGeNET
329,DOID:2531,DISEASES;DisGeNET
1583,DOID:11612,DISEASES;DOAF
333,DOID:10652,DISEASES
1015,DOID:263,DISEASES
200186,DOID:9352,DisGeNET
1775,DOID:10283,DisGeNET
9454,DOID:8850,DisGeNET
1588,DOID:11714,DisGeNET
1612,DOID:1324,DisGeNET
867,DOID:2355,DISEASES
9780,DOID:2355,DISEASES
255738,DOID:1936,DISEASES
572,DOID:3070,DisGeNET
57167,DOID:9835,DISEASES;DisGeNET
4843,DOID:3083,DOAF;DisGeNET
26,DOID:10763,DisGeNET
29108,DOID:1324,DisGeNET
10412,DOID:12236,DisGeNET
1906,DOID:14330,DisGeNET
1512,DOID:2531,DisGeNET
51163,DOID:332,DisGeNET
1409,DOID:1686,DISEASES;DisGeNET
4905,DOID:2394,GWAS Catalog
1495,DOID:263,DISEASES
10318,DOID:1612,DisGeNET
973,DOID:635,DISEASES
6774,DOID:10283,DISEASES;DisGeNET
3685,DOID:1909,DOAF
3553,DOID:2531,DISEASES
6295,DOID:2043,DISEASES
5581,DOID:3393,DisGeNET
9241,DOID:9296,GWAS Catalog
4313,DOID:3393,DISEASES;DOAF;DisGeNET
1803,DOID:7148,DOAF;GWAS Catalog
11262,DOID:2531,GWAS Catalog
23532,DOID:1909,DisGeNET
55014,DOID:1909,DisGeNET
5243,DOID:784,DisGeNET
183,DOID:1826,DisGeNET
55215,DOID:2355,DISEASES;DOAF
1958,DOID:10283,DisGeNET
202500,DOID:3953,DISEASES
5743,DOID:184,DisGeNET
623,DOID:10763,DisGeNET
11124,DOID:9352,GWAS Catalog
923,DOID:0060119,DISEASES
71,DOID:635,DISEASES
640,DOID:7148,DISEASES;DisGeNET;GWAS Catalog
66037,DOID:10941,GWAS Catalog
8209,DOID:1115,DISEASES
10528,DOID:10534,DisGeNET
