chembl_id,name
CHEMBL2,PRAZOSIN
CHEMBL3,NICOTINE
CHEMBL4,OFLOXACIN
CHEMBL5,NALIDIXIC ACID
CHEMBL6,INDOMETHACIN
CHEMBL403,SULBACTAM
CHEMBL404,TAZOBACTAM
CHEMBL8,CIPROFLOXACIN
CHEMBL9,NORFLOXACIN
CHEMBL405,AMPHETAMINE
CHEMBL6622,ISOSORBIDE DINITRATE
CHEMBL6437,MIANSERIN
CHEMBL11,IMIPRAMINE
CHEMBL406,INDAPAMIDE
CHEMBL407,FLUMAZENIL
CHEMBL408,TROGLITAZONE
CHEMBL409,BICALUTAMIDE
CHEMBL12,DIAZEPAM
CHEMBL13,METOPROLOL
CHEMBL411,DIETHYLSTILBESTROL
CHEMBL267936,MECAMYLAMINE
CHEMBL14,CARBACHOL
CHEMBL16,PHENYTOIN
CHEMBL413,SIROLIMUS
CHEMBL269732,TACROLIMUS ANHYDROUS
CHEMBL415,CLOMIPRAMINE
CHEMBL416,METHOXSALEN
CHEMBL17,DICHLORPHENAMIDE
CHEMBL18,ETHOXZOLAMIDE
CHEMBL417,EPIRUBICIN
CHEMBL19,METHAZOLAMIDE
CHEMBL20,ACETAZOLAMIDE
CHEMBL419,MAFENIDE
CHEMBL21,SULFANILAMIDE
CHEMBL420,GUANABENZ
CHEMBL22,TRIMETHOPRIM
CHEMBL6966,VERAPAMIL
CHEMBL421,SULFASALAZINE
CHEMBL6466,COUMARIN
CHEMBL23,DILTIAZEM
CHEMBL24,ATENOLOL
CHEMBL25,ASPIRIN
CHEMBL422,TRIFLUOPERAZINE
CHEMBL423,BETAXOLOL
CHEMBL425,OLSALAZINE
CHEMBL27,PROPRANOLOL
CHEMBL6995,PRACTOLOL
CHEMBL427,MECHLORETHAMINE
CHEMBL29,PENICILLIN G
CHEMBL428,TROVAFLOXACIN
CHEMBL30,CIMETIDINE
CHEMBL31,GATIFLOXACIN
CHEMBL429,LABETALOL
CHEMBL32,MOXIFLOXACIN
CHEMBL33,LEVOFLOXACIN ANHYDROUS
CHEMBL430,GEMIFLOXACIN
CHEMBL431,SPIRAPRIL
CHEMBL433,VALPROATE SODIUM
CHEMBL434,ISOPROTERENOL
CHEMBL435,HYDROCHLOROTHIAZIDE
CHEMBL35,FUROSEMIDE
CHEMBL36,PYRIMETHAMINE
CHEMBL436,TOLRESTAT
CHEMBL437,SULFATHIAZOLE
CHEMBL438,SULFAMERAZINE
CHEMBL439,SULFADIAZINE
CHEMBL440,THIAMYLAL
CHEMBL441,THIOPENTAL
CHEMBL268164,CYCLOBARBITAL
CHEMBL442,ERGOTAMINE
CHEMBL38,TRETINOIN
CHEMBL7413,METHOHEXITAL
CHEMBL40,PHENOBARBITAL
CHEMBL41,FLUOXETINE
CHEMBL443,SULFAMETHOXAZOLE
CHEMBL42,CLOZAPINE
CHEMBL445,NORTRIPTYLINE
CHEMBL446,SULFAMETHAZINE
CHEMBL447,SECOBARBITAL
CHEMBL448,PENTOBARBITAL
CHEMBL7568,QUINACRINE
CHEMBL267894,AMOBARBITAL
CHEMBL7728,HEXOBARBITAL
CHEMBL449,BUTABARBITAL
CHEMBL7863,APROBARBITAL
CHEMBL450,METHARBITAL
CHEMBL451,CHLORDIAZEPOXIDE
CHEMBL266349,MELAGATRAN
CHEMBL452,CLONAZEPAM
CHEMBL453,SULFISOXAZOLE
CHEMBL268869,SULFAMETHOXYPYRIDAZINE
CHEMBL454,BUTALBITAL
CHEMBL455,SULFACETAMIDE
CHEMBL43,AMSACRINE
CHEMBL456,ETHACRYNIC ACID
CHEMBL267744,TICRYNAFEN
CHEMBL457,GEMFIBROZIL
CHEMBL45,MELATONIN
CHEMBL46,ONDANSETRON
CHEMBL49,BUSPIRONE
CHEMBL459,METHYLDOPA
CHEMBL460,MOLINDONE
CHEMBL53,APOMORPHINE
CHEMBL54,HALOPERIDOL
CHEMBL55,PENTAMIDINE
CHEMBL463,AMINOHIPPURIC ACID
CHEMBL464,ETRETINATE
CHEMBL57,NEVIRAPINE
CHEMBL465,DRONABINOL
CHEMBL58,MITOXANTRONE
CHEMBL59,DOPAMINE
CHEMBL467,HYDROXYUREA
CHEMBL61,PODOFILOX
CHEMBL64,ISONIAZID
CHEMBL468,THALIDOMIDE
CHEMBL469,KETOROLAC
CHEMBL471,SOTALOL
CHEMBL472,GLYBURIDE
CHEMBL9225,HEXESTROL
CHEMBL473,DOFETILIDE
CHEMBL476,DACARBAZINE
CHEMBL477,ADENOSINE
CHEMBL479,THIORIDAZINE
CHEMBL480,LANSOPRAZOLE
CHEMBL481,IRINOTECAN
CHEMBL70,MORPHINE
CHEMBL485,CODEINE
CHEMBL71,CHLORPROMAZINE
CHEMBL72,DESIPRAMINE
CHEMBL488,AMINOGLUTETHIMIDE
CHEMBL74,CROMOLYN SODIUM
CHEMBL76,CHLOROQUINE
CHEMBL490,PAROXETINE
CHEMBL416146,ETORICOXIB
CHEMBL79,LIDOCAINE
CHEMBL492,ETIDOCAINE
CHEMBL80,NALOXONE
CHEMBL81,RALOXIFENE
CHEMBL83,TAMOXIFEN
CHEMBL493,BROMOCRIPTINE
CHEMBL494,ILOPROST
CHEMBL84,TOPOTECAN
CHEMBL85,RISPERIDONE
CHEMBL428880,CROMOLYN
CHEMBL86,METOCLOPRAMIDE
CHEMBL428647,PACLITAXEL
CHEMBL495,ALPROSTADIL
