entrez_id,symbol
5345,SERPINF2
9409,PEX16
10848,PPP1R13L
121129,OR2AP1
432,ASGR1
120526,DNAJC24
100506164,HSFX1
22938,SNW1
4656,MYOG
7424,VEGFC
6821,SUOX
4154,MBNL1
55200,PLEKHG6
25790,CFAP45
10276,NET1
2527,FUT5
8633,UNC5C
1908,EDN3
84811,BUD13
100506627,DCDC5
6233,RPS27A
90933,TRIM41
4606,MYBPC2
27250,PDCD4
10712,FAM189B
3987,LIMS1
147906,DACT3
10109,ARPC2
105378955,LOC105378955
717,C2
57464,STRIP2
84239,ATP13A4
29948,OSGIN1
23223,RRP12
7709,ZBTB17
125893,ZNF816
362,AQP5
80196,RNF34
27121,DKK4
9521,EEF1E1
2796,GNRH1
79577,CDC73
51191,HERC5
5494,PPM1A
54897,CASZ1
219469,OR8H1
222696,ZSCAN23
26511,CHIC2
2208,FCER2
79005,SCNM1
121278,TPH2
8330,HIST1H2AK
1605,DAG1
11004,KIF2C
30836,DNTTIP2
102725035,LOC102725035
284612,SYPL2
6954,TCP11
28990,ASTE1
4303,FOXO4
89857,KLHL6
79665,DHX40
25923,ATL3
10409,BASP1
3684,ITGAM
9806,SPOCK2
2041,EPHA1
391004,PRAMEF17
84944,MAEL
146227,BEAN1
6382,SDC1
5763,PTMS
158471,PRUNE2
3096,HIVEP1
100289678,ZNF783
79893,GGNBP2
9218,VAPA
1469,CST1
51491,NOP16
102724164,LOC102724164
101929983,LOC101929983
128272,ARHGEF19
374918,IGFL1
57613,KIAA1467
93145,OLFM2
389813,C9orf172
285500,LOC285500
5191,PEX7
7580,ZNF32
80329,ULBP1
11278,KLF12
130367,SGPP2
9670,IPO13
84515,MCM8
79726,WDR59
645263,LOC645263
9051,PSTPIP1
278,AMY1C
7270,TTF1
284309,ZNF776
144448,TSPAN19
5627,PROS1
5008,OSM
203569,PAGE2
554282,FAM72C
11130,ZWINT
2357,FPR1
8479,HIRIP3
1738,DLD
51760,SYT17
94033,FTMT
347404,LANCL3
84641,HIATL1
389058,SP5
7103,TSPAN8
57125,PLXDC1
4436,MSH2
54458,PRR13
221078,NSUN6
26056,RAB11FIP5
10558,SPTLC1
3817,KLK2
9939,RBM8A
285800,PRR18
547,KIF1A
84069,PLEKHN1
23053,ZSWIM8
6515,SLC2A3
283554,GPR137C
5896,RAG1
101927751,LOC101927751
728661,SLC35E2B
9367,RAB9A
2626,GATA4
341567,H1FNT
105372496,LOC105372496
1978,EIF4EBP1
8748,ADAM20
999,CDH1
51021,MRPS16
92270,ATP6AP1L
145788,C15orf65
7991,TUSC3
83902,KRTAP17-1
256223,CDRT15L2
5324,PLAG1
64135,IFIH1
55346,TCP11L1
386676,KRTAP10-9
4705,NDUFA10
81502,HM13
26341,OR5H1
10827,FAM114A2
2054,STX2
129881,CCDC173
9184,BUB3
411,ARSB
22917,ZP1
7403,KDM6A
55798,METTL2B
26086,GPSM1
4133,MAP2
55179,FAIM
8612,PPAP2C
765,CA6
84790,TUBA1C
105376855,LOC105376855
283870,BRICD5
146057,TTBK2
114112,TXNRD3
115004,MB21D1
27229,TUBGCP4
100288520,USP17L15
10691,GMEB1
10072,DPP3
1299,COL9A3
51321,AMZ2
93594,TBC1D31
680,BRS3
389643,NUGGC
29927,SEC61A1
23186,RCOR1
6648,SOD2
164633,CABP7
90324,CCDC97
641371,ACOT1
282679,AQP11
6045,RNF2
3654,IRAK1
149345,SHISA4
9500,MAGED1
2775,GNAO1
102724446,LOC102724446
8881,CDC16
108,ADCY2
51154,MRTO4
105374700,LOC105374700
256356,GK5
5457,POU4F1
101060569,LOC101060569
4854,NOTCH3
54876,DCAF16
219432,OR4C6
115273,RAB42
10960,LMAN2
2187,FANCB
341112,WARSP1
8309,ACOX2
30815,ST6GALNAC6
7536,SF1
56955,MEPE
729431,GAGE12E
124093,CCDC78
100125288,ZGLP1
10179,RBM7
25902,MTHFD1L
10388,SYCP2
3663,IRF5
2020,EN2
84923,FAM104A
146206,RLTPR
6345,SRL
353189,SLCO4C1
5742,PTGS1
158434,LOC158434
3075,CFH
10221,TRIB1
1432,MAPK14
285367,RPUSD3
100996928,C7orf55-LUC7L2
105372342,LOC105372342
829,CAPZA1
57576,KIF17
23335,WDR7
83732,RIOK1
5154,PDGFA
11276,SYNRG
80308,FLAD1
9633,MTL5
2908,NR3C1
79689,STEAP4
241,ALOX5AP
5606,MAP2K3
55628,ZNF407
140453,MUC17
11329,STK38
4987,OPRL1
55009,C19orf24
157695,TDRP
653427,FOXD4L5
1717,DHCR7
85364,ZCCHC3
390664,C1QTNF8
84620,ST6GAL2
7066,THPO
57088,PLSCR4
441531,PGAM4
221814,LOC221814
54437,SEMA5B
26035,GLCE
10521,DDX17
3796,KIF2A
60559,SPCS3
9918,NCAPD2
1129,CHRM2
23635,SSBP2
526,ATP6V1B2
165082,ADGRF3
56244,BTNL2
6494,SIPA1
5875,RABGGTA
3208,HPCA
23519,ANP32D
80005,DOCK5
105373094,LOC105373094
9330,GTF3C3
51603,METTL13
105379200,LOC105379200
8727,CTNNAL1
962,CD48
85508,SCRT2
23468,CBX5
9569,GTF2IRD1
9607,CARTPT
105369205,LOC105369205
5303,PIN4
64098,PARVG
55325,UFSP2
118424,UBE2J2
4684,NCAM1
10806,SDCCAG8
79838,TMC5
390,RND3
389337,ARHGEF37
22880,MORC2
137835,TMEM71
55761,TTC17
100289087,TSPY10
26974,ZNF285
1850,DUSP8
347516,DGAT2L6
644168,DRGX
548644,POLR2J3
65008,MRPL1
127018,LYPLAL1
6191,RPS4X
4548,MTR
441061,MARCH11
648044,LOC648044
10670,RRAGA
3929,LBP
80726,KIAA1683
341947,COX8C
10051,SMC4
1278,COL1A2
51300,TIMMDC1
23768,FLRT2
659,BMPR2
84181,CHD6
29890,RBM15B
