umls_cui,name
C0000729,LLT
C0000729,PT
C0000737,LLT
C0000737,PT
C0002418,LLT
C0002418,PT
C0002871,LLT
C0002871,PT
C0003123,LLT
C0003123,PT
C0003467,LLT
C0003467,PT
C0003811,LLT
C0003811,PT
C0004093,LLT
C0004093,PT
C0004238,LLT
C0004238,PT
C0004604,LLT
C0004604,PT
C0006277,LLT
C0006277,PT
C0007222,LLT
C0007222,PT
C0008031,LLT
C0008031,PT
C0009450,LLT
C0009450,PT
C0009806,LLT
C0009806,PT
C0010200,LLT
C0010200,PT
C0011570,LLT
C0011570,PT
C0011991,LLT
C0011991,PT
C0012833,LLT
C0012833,PT
C0013378,LLT
C0013378,PT
C0013395,LLT
C0013395,PT
C0013404,LLT
C0013404,PT
C0015230,LLT
C0015230,PT
C0015397,LLT
C0015397,PT
C0015967,LLT
C0015967,PT
C0017152,LLT
C0017152,PT
C0017178,LLT
C0017178,PT
C0018681,LLT
C0018681,PT
C0019080,LLT
C0019080,PT
C0020437,LLT
C0020437,PT
C0020461,LLT
C0020461,PT
C0020517,LLT
C0020517,PT
C0020538,LLT
C0020538,PT
C0020649,LLT
C0020649,PT
C0021400,LLT
C0021400,PT
C0023218,LLT
C0023218,PT
C0025222,LLT
C0025222,PT
C0026826,LLT
C0026826,PT
C0027497,LLT
C0027497,PT
C0030193,LLT
C0030193,PT
C0030252,LLT
C0030252,PT
C0030517,LLT
C0030517,PT
C0030554,LLT
C0030554,PT
C0031350,LLT
C0031350,PT
C0033774,LLT
C0033774,PT
C0035078,LLT
C0035078,PT
C0035455,LLT
C0035455,PT
C0036572,LLT
C0036572,PT
C0037199,LLT
C0037199,PT
C0039231,LLT
C0039231,PT
C0042029,LLT
C0042029,PT
C0042373,LLT
C0042373,PT
C0042571,LLT
C0042571,PT
C0042963,LLT
C0042963,PT
C0043094,LLT
C0043094,PT
C0043096,LLT
C0043096,PT
C0085595,LLT
C0085595,PT
C0085649,LLT
C0085649,PT
C0151735,LLT
C0151735,PT
C0151736,LLT
C0151736,PT
C0152020,LLT
C0152020,PT
C0231528,LLT
C0231528,PT
C0426576,LLT
C0426576,PT
C0522055,LLT
C0522055,PT
C0546817,LLT
C0546817,PT
C0917801,LLT
C0917801,PT
C0947912,LLT
C0947912,PT
C1510472,LLT
C1510472,PT
C0002792,LLT
C0002792,PT
C0002994,LLT
C0002994,PT
C0042109,LLT
C0042109,PT
C0863083,LLT
C0863083,PT
C0003537,LLT
C0003537,PT
C0004936,LLT
C0004936,PT
C0006118,LLT
C0006118,PT
C0013604,LLT
C0013604,PT
C0015256,LLT
C0015256,PT
C0017638,LLT
C0017638,PT
C0018799,LLT
C0018799,PT
C0018979,LLT
C0018979,PT
C0018989,LLT
C0018989,PT
C0019348,LLT
C0019348,PT
C0020429,LLT
C0020429,PT
C0020580,LLT
C0020580,PT
C0023518,LLT
C0023518,PT
C0027651,LLT
C0027651,PT
C0027765,LLT
C0027765,PT
C0027769,LLT
C0027769,PT
C0031256,LLT
C0031256,PT
C0035229,LLT
C0035229,PT
C0036508,LLT
C0036508,PT
C0037274,LLT
C0037274,PT
C0038814,LLT
C0038814,PT
C0040034,LLT
C0040034,PT
C0040038,LLT
C0040038,PT
C0041582,LLT
C0041582,PT
C0041834,LLT
C0041834,PT
C0085593,LLT
C0085593,PT
C0085641,LLT
C0085641,PT
C0151505,LLT
C0151505,PT
C0151662,LLT
C0151662,PT
C0151717,LLT
C0151717,PT
C0151904,LLT
C0151904,PT
C0151905,LLT
C0151905,PT
C0151908,LLT
C0151908,PT
