umls_cui,name
C0023448,Lymphocytic leukaemia
C0575810,Hands weakness of
C0025193,Melancholia
C0578687,Sore eye
C0919671,Subileus
C0237849,Skin exfoliation
C0042267,Vaginal inflammation
C1141885,Sclerosing encapsulating peritonitis
C0339807,House dust allergy
C0235222,Diastolic hypertension
C0850638,Infected bites
C1456329,Stomach dilation procedure
C0017181,Gastrointestinal haemorrhage
C3160759,Tumour cell mobilisation
C0684275,Haemophilia
C0743668,Limb injury
C0085612,Ventricular arrhythmia
C0040210,VT
C0392676,Hyperpyrexia
C0003079,Pupils unequal
C1175175,Severe acute respiratory syndrome
C0151500,Anticholinergic syndrome
C1963790,Vulvovaginal burning sensation
C0040261,Onychomycosis
C0014358,Pseudomembranous enterocolitis
C0233763,"Hallucination, visual"
C0857112,Glaucoma both eyes
C0521634,Genital itching female
C0853011,Diabetic hyperglycaemic coma
C0853875,Myoglobin urine present
C0522224,Paralysis
C0344304,Abdominal pain generalised
C0006849,Oral candidiasis
C0151529,Bleeding time prolonged
C3160947,CNS toxicity
C0016867,Furunculosis
C0542051,Instability vasomotor
C0750887,Adrenal gland cancer
C0020579,Hypervitaminosis A
C0853023,Blood parathyroid hormone increased
C0025312,Meningomyelocele
C3495931,Vestibular toxicity
C0856099,Hemorrhoids aggravated
C0854530,Human herpesvirus 6 infection
C0007193,Congestive cardiomyopathy
C0009663,Anogenital warts
C1112469,Cytomegalovirus syndrome
C0234655,Burning sensation in eye
C0522067,Hepatic pain
C0857087,Dizzy spells
C2745924,Platelet aggregation increased
C0863070,Catheter site related reaction
C0023518,Leukocytosis
C0220854,Hyperpnea
C0002884,Hypochromic anaemia
C0034642,Rales
C0427564,Platelet count normal
C0086525,Lassitude
C0152267,Hodgkin's disease lymphocyte depletion type stage unspecified
C0549350,Conjunctivitis exacerbated
C0018811,Foetal heart rate
C0022504,Kaposi's varicelliform eruption
C0029261,Orgasm abnormal
C0020541,Portal hypertension
C0234962,Pulmonary vasculitis
C0085298,Sudden cardiac death
C0241254,Mucous stools
C2938903,HDL cholesterol increased
C1321581,Bezoar
C0853124,Blood follicle stimulating hormone increased
C0155118,Corneal degeneration
C0085932,Dermatitis bullous
C0595900,Blood chloride increased
C0860160,Diabetes mellitus inadequate control
C0009782,Connective tissue disorder
C0151684,Granuloma skin
C0013592,Ectropion
C0694549,Community acquired pneumonia
C0423271,Scleral hyperaemia
C0235093,Paralysis of bladder
C0743575,Oesophageal irritation
C0423153,Lacrimation
C0549229,Nail discomfort
C0151824,Biliary colic
C0152086,Traumatic arthropathy
C0392378,Gingival ulceration
C1318314,Epithelial cells urine
C0011849,Diabetes mellitus
C0022876,Premature labour
C0859037,Feeling of residual urine
C0860453,Loss of skin markings
C0017551,Gilbert's syndrome
C0860209,Gallbladder sludge
C0029443,Osteomyelitis
C0267834,Hepatic cyst
C0853035,Blood creatinine normal
C0162119,Haemoglobin decreased
C0686347,Tardive dyskinesia
C0580317,Platelet count abnormal
C0392674,Exhaustion
C0342592,Anion gap increased
C0004659,Bacteriuria
C0032781,Postnasal drip
C1112746,Hepatic lymphoma
C0032019,Pituitary tumour
C0042721,Hepatitis viral
C0564768,Genital infection male
C0687675,Pregnancy loss
C0042138,Uterine neoplasm
C0854382,Libido disorder
C0036130,Salpingitis
C0863129,AGEP
C1565489,Renal impairment
C0026884,Mutism
C1142172,Incision site complication
C0853891,Tumour flare
C0002896,Sideroblastic anaemia
C0007113,Rectal cancer
C1510450,Dysacusis
C0009241,Cognitive disorder
C0553704,Serum potassium increased
C0235238,Cycloplegia
C0010414,Cryptococcosis
C0149744,Oral lesion
C0338573,Intracranial venous sinus thrombosis
C1142135,Muscle relaxant therapy
C0016242,Vitreous floaters
C0853811,Croup infectious
C0015644,Fasciculation
C0855440,Pancreatic enzymes abnormal
C0854453,Escherichia sepsis
C0235169,Excitability
C0700639,Congenital hypertrophic pyloric stenosis
C0010346,Crohn's disease
C0038000,Splenic rupture
C0154251,Lipid metabolism disorder
C0589616,Genitourinary chlamydia infection
C0000772,Multiple congenital abnormalities
C0085620,Paralysis flaccid
C0750426,White blood cell count increased
C0023182,Cerebrospinal fluid leakage
C0025209,Melanosis
C0520575,Pyelonephritis acute
C1295715,Fibrinogen decreased
C0854058,pH urine increased
C0032460,Polycystic ovaries
C0231451,Joint hyperextension
C0149770,Rectal abscess
C0581883,Complete hearing loss
C0151310,Paresthesia generalized
C0919726,Postoperative hypertension
C0520854,Mean arterial pressure decreased
C0700225,Serum creatinine increased
C3665473,Deafness bilateral
C0919909,Tonic clonic movements
C0948089,Acute coronary syndrome
C0751900,Motor tic
C0151474,Alcohol intolerance
C0549250,Jaw stiffness
C0152021,Heart disease congenital
C0151582,Urate crystalluria
C1611162,Plateletcrit decreased
C0033581,Prostatitis
C1739363,Prostatic hypertrophy
C0020305,Hydrops foetalis
C0239652,Paraesthesia foot
C0020255,Hydrocephalus
C0015468,Facial pain
C0010399,Crying
C1619727,Decompensated cirrhosis
C0043541,Zygomycosis
C2586050,Oesophagitis ulcerative
C0023067,Laryngitis
C0580546,Blood glucose abnormal
C0155503,Vertigo CNS origin
