uniprot,target_name
P43166,Carbonic anhydrase 7
P43166,Carbonic anhydrase
P00915,Carbonic anhydrase 1
P00915,Carbonic anhydrase
Q02768,Cytochrome b
P20309,Muscarinic acetylcholine receptor M3
P20309,Muscarinic acetylcholine receptor
P20309,Muscarinic acetylcholine receptors; M2 & M3
P20309,Muscarinic acetylcholine receptor M1 and M3
P11387,DNA topoisomerase 1
P11387,Topoisomerase I/II
P15692,"Vascular endothelial growth factor A, long form"
P15692,VEGA-NRP1
P15692,NRP2-VEGA
P15692,VEGFR1-VEGA
P15692,VEGFR2-VEGA
P43220,Glucagon-like peptide 1 receptor
P29218,Inositol monophosphatase 1
P30518,Vasopressin V2 receptor
P30518,Vasopressin receptor
P30518,Vasopressin V1a/V2
P30518,GPR27-V2
P35346,Somatostatin receptor type 5
P35346,Somatostatin receptor
P35346,Somatostatin receptor type 2/type 5
Q03431,Parathyroid hormone/parathyroid hormone-related peptide receptor
P07098,Gastric triacylglycerol lipase
Q9Y271,Cysteinyl leukotriene receptor 1
Q9Y271,Cysteinyl leukotriene receptor
P00734,Prothrombin
P00734,Thrombin & trypsin
P00734,Thrombin and coagulation factor VII
P00734,Thrombin and urokinase-type plasminogen activator
P00734,Thrombin and coagulation factor X
P00750,Tissue-type plasminogen activator
P00747,Plasminogen
P00749,Urokinase-type plasminogen activator
P00749,Thrombin and urokinase-type plasminogen activator
P00749,Urokinase-type plasminogen activator/surface receptor
P00918,Carbonic anhydrase 2
P00918,Carbonic anhydrase
P00918,Carbonic anhydrases; II & IX
P00918,Protein cereblon/Carbonic anhydrase II
P30874,Somatostatin receptor type 2
P30874,Somatostatin receptor
P30874,Somatostatin receptor type 2/type 5
P30939,5-hydroxytryptamine receptor 1F
P30939,Serotonin (5-HT) receptor
P30939,5-HT1A/5-HT1F
P30939,5-HT1B/5-HT1F
P30939,5-HT1D/5-HT1F
P30939,Serotonin 1 (5-HT1) receptor
P11388,DNA topoisomerase 2-alpha
P11388,DNA topoisomerase II
P11388,Topoisomerase I/II
P12821,Angiotensin-converting enzyme
P12821,Angiotensin-converting enzyme/Ribosomal RNA small subunit methyltransferase NEP1
P12821,Neprilysin/Angiotensin-converting enzyme
P34981,Thyrotropin-releasing hormone receptor
P34995,Prostaglandin E2 receptor EP1 subtype
P34995,Prostaglandin E2 receptor
Q13547,Histone deacetylase 1
Q13547,Histone deacetylase
Q13547,Histone deacetylase (HDAC1 and HDAC2)
Q13547,Histone deacetylase 1/3/5/8
Q13547,Histone deacetylase 1/2/3/6
Q13547,Histone deacetylase 1/2/3
Q13547,Histone deacetylase 1/8
Q13547,Histone deacetylase 1/Nuclear receptor corepressor 2
Q13547,BRD4/HDAC1
Q13547,Histone deacetylase 1/6
Q13547,HDAC1/REST corepressor 3
Q13547,Protein cereblon/Histone deacetylase 1
Q13547,Class 1 histone deacetylase
Q13547,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 1
Q13547,von Hippel-Lindau disease tumor suppressor/KDM1A/HDAC1/RCOR1
Q13547,MDM2-HDAC1
P16233,Pancreatic triacylglycerol lipase
P19235,Erythropoietin receptor
P19235,Innate repair receptor
P20839,Inosine-5'-monophosphate dehydrogenase 1
P20839,Inosine-5'-monophosphate dehydrogenase (IMPDH)
P04626,Receptor tyrosine-protein kinase erbB-2
P04626,Epidermal growth factor receptor and ErbB2 (HER1 and HER2)
P04626,Epidermal growth factor receptor
P04626,FASN/HER2
P04626,ErbB-2/ErbB-3 heterodimer
P04626,von Hippel-Lindau disease tumor suppressor/Receptor protein-tyrosine kinase erbB-2
P35367,Histamine H1 receptor
P01375,Tumor necrosis factor
O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase"
O76074,Phosphodiesterases; PDE5 & PDE6
O76074,"Phosphodiesterase, PDE1/PDE5"
O76074,Phosphodiesterase 2 and 5 (PDE2 and PDE5)
O76074,Phosphodiesterase 4 and 5 (PDE4 and PDE5)
O76074,Phosphodiesterase 3 and 5 (PDE3 and PDE5)
O76074,"3',5'-cyclic phosphodiesterase"
O76074,PDE5A/PDE6C
O15379,Histone deacetylase 3
O15379,Histone deacetylase
O15379,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2)
O15379,Histone deacetylase 1/3/5/8
O15379,Histone deacetylase 3/NCoR1
O15379,Histone deacetylase 1/2/3/6
O15379,Histone deacetylase 1/2/3
O15379,Histone deacetylase 6/3
O15379,Protein cereblon/Histone deacetylase 3
O15379,Class 1 histone deacetylase
O15379,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 3
O15379,MDM2-HDAC3
O15379,von Hippel-Lindau disease tumor suppressor/LSD1/HDAC3/RCOR1
P14416,D(2) dopamine receptor
P14416,Dopamine receptors; D2 & D3
P14416,Dopamine receptors; D2 & D4
P14416,Dopamine receptor
P14416,Dopamine D2 receptor and serotonin 1a receptor
P14416,Dopamine D2 receptor and serotonin 2a receptor
P14416,Dopamine D1 and D2 receptor
P14416,D2-like dopamine receptor
P14416,Dopamine receptor D2L/neurotensin receptor NTS1
P14416,D(2) dopamine receptor/Metabotropic glutamate receptor 5
P30988,Calcitonin receptor
P30988,"Amylin receptor AMY1, CALCR/RAMP1"
P30988,Amylin receptor AMY3; CALCR/RAMP3
P30988,Amylin receptor AMY2; CALCR/RAMP2
P30556,Type-1 angiotensin II receptor
P30556,Angiotensin II receptor
P41595,5-hydroxytryptamine receptor 2B
P41595,Serotonin 2 (5-HT2) receptor
P41595,Serotonin (5-HT) receptor
P41595,Serotonin receptor (2b and 2c)
P01854,Immunoglobulin heavy constant epsilon
P07202,Thyroid peroxidase
P20138,Myeloid cell surface antigen CD33
P20711,Aromatic-L-amino-acid decarboxylase
P07333,Macrophage colony-stimulating factor 1 receptor
P35348,Alpha-1A adrenergic receptor
P35348,Adrenergic receptor alpha-1
P35348,Adrenergic receptor alpha
P35348,Adrenergic receptors; alpha-1 A & B
P35348,Alpha adrenergic receptor (1a and 1d)
P35348,Adrenergic receptor
P00533,Epidermal growth factor receptor
P00533,Epidermal growth factor receptor and ErbB2 (HER1 and HER2)
P00533,MER intracellular domain/EGFR extracellular domain chimera
P00533,Protein cereblon/Epidermal growth factor receptor
P00533,EGFR/PPP1CA
P00533,von Hippel-Lindau disease tumor suppressor/EGFR
P00533,Baculoviral IAP repeat-containing protein 2/Epidermal growth factor receptor
P00533,CCN2-EGFR
P00533,Microtubule-associated protein 1 light chain 3 beta/Epidermal growth factor receptor
P00533,Glucose-induced degradation protein 4 homolog/Epidermal growth factor receptor
P35462,D(3) dopamine receptor
P35462,Dopamine receptors; D2 & D3
P35462,Dopamine receptor
P35462,Dopamine receptors; D3 & D4
P35462,D2-like dopamine receptor
P21817,Ryanodine receptor 1
P21817,RyR1/FKBP12
P9WGR1,Enoyl-[acyl-carrier-protein] reductase [NADH]
P22888,Lutropin-choriogonadotropic hormone receptor
P30968,Gonadotropin-releasing hormone receptor
P31213,3-oxo-5-alpha-steroid 4-dehydrogenase 2
P31213,Steroid 5-alpha-reductase
P09917,Polyunsaturated fatty acid 5-lipoxygenase
P09917,5-lipoxygenase/FLAP
P11229,Muscarinic acetylcholine receptor M1
P11229,Muscarinic acetylcholine receptor
P11229,Muscarinic acetylcholine receptors; M1 & M2
