stitch_id,pubchem_cid,chembl_id,umls_cui
CID000000137,137,CHEMBL601,C0002871
CID000000137,137,CHEMBL601,C0003537
CID000000137,137,CHEMBL601,C0004936
CID000000137,137,CHEMBL601,C0006118
CID000000137,137,CHEMBL601,C0009450
CID000000137,137,CHEMBL601,C0011991
CID000000137,137,CHEMBL601,C0013604
CID000000137,137,CHEMBL601,C0015230
CID000000137,137,CHEMBL601,C0015256
CID000000137,137,CHEMBL601,C0015397
CID000000137,137,CHEMBL601,C0015967
CID000000137,137,CHEMBL601,C0017178
CID000000137,137,CHEMBL601,C0017638
CID000000137,137,CHEMBL601,C0018681
CID000000137,137,CHEMBL601,C0018799
CID000000137,137,CHEMBL601,C0018979
CID000000137,137,CHEMBL601,C0018989
CID000000137,137,CHEMBL601,C0019080
CID000000137,137,CHEMBL601,C0019348
CID000000137,137,CHEMBL601,C0020429
CID000000137,137,CHEMBL601,C0020580
CID000000137,137,CHEMBL601,C0020649
CID000000137,137,CHEMBL601,C0023518
CID000000137,137,CHEMBL601,C0027497
CID000000137,137,CHEMBL601,C0027651
CID000000137,137,CHEMBL601,C0027765
CID000000137,137,CHEMBL601,C0027769
CID000000137,137,CHEMBL601,C0030193
CID000000137,137,CHEMBL601,C0030554
CID000000137,137,CHEMBL601,C0031256
CID000000137,137,CHEMBL601,C0033774
CID000000137,137,CHEMBL601,C0035229
CID000000137,137,CHEMBL601,C0036508
CID000000137,137,CHEMBL601,C0036572
CID000000137,137,CHEMBL601,C0037274
CID000000137,137,CHEMBL601,C0038814
CID000000137,137,CHEMBL601,C0040034
CID000000137,137,CHEMBL601,C0040038
CID000000137,137,CHEMBL601,C0041582
CID000000137,137,CHEMBL601,C0041834
CID000000137,137,CHEMBL601,C0042373
CID000000137,137,CHEMBL601,C0042963
CID000000137,137,CHEMBL601,C0085593
CID000000137,137,CHEMBL601,C0085641
CID000000137,137,CHEMBL601,C0151505
CID000000137,137,CHEMBL601,C0151662
CID000000137,137,CHEMBL601,C0151717
CID000000137,137,CHEMBL601,C0151904
CID000000137,137,CHEMBL601,C0151905
CID000000137,137,CHEMBL601,C0151908
CID000000137,137,CHEMBL601,C0162285
CID000000137,137,CHEMBL601,C0162830
CID000000137,137,CHEMBL601,C0162834
CID000000137,137,CHEMBL601,C0162835
CID000000137,137,CHEMBL601,C0178298
CID000000137,137,CHEMBL601,C0205204
CID000000137,137,CHEMBL601,C0221232
CID000000137,137,CHEMBL601,C0234215
CID000000137,137,CHEMBL601,C0234233
CID000000137,137,CHEMBL601,C0237849
CID000000137,137,CHEMBL601,C0241157
CID000000137,137,CHEMBL601,C0241166
CID000000137,137,CHEMBL601,C0267792
CID000000137,137,CHEMBL601,C0311468
CID000000137,137,CHEMBL601,C0332534
CID000000137,137,CHEMBL601,C0349506
CID000000137,137,CHEMBL601,C0392197
CID000000137,137,CHEMBL601,C0392699
CID000000137,137,CHEMBL601,C0406834
CID000000137,137,CHEMBL601,C0423791
CID000000137,137,CHEMBL601,C0521490
CID000000137,137,CHEMBL601,C0677500
CID000000137,137,CHEMBL601,C0699893
CID000000137,137,CHEMBL601,C0702166
CID000000137,137,CHEMBL601,C0851341
CID000000137,137,CHEMBL601,C0851353
CID000000137,137,CHEMBL601,C0852913
CID000000137,137,CHEMBL601,C0857807
CID000000137,137,CHEMBL601,C0870082
CID000000137,137,CHEMBL601,C0920193
CID000000137,137,CHEMBL601,C1527311
CID000000137,137,CHEMBL601,C1698818
