uniprot,entrez_id
P26439,3284
P08908,3350
P28222,3351
P28221,3352
P28566,3354
P30939,3355
P28223,3356
P41595,3357
P28335,3358
P46098,3359
O95264,9177
Q8WXA8,170572
Q70Z44,200909
A5X5Y0,285242
Q13639,3360
P47898,3361
P50406,3362
P34969,3363
P01023,2
P05067,351
P30542,134
P29274,135
P29275,136
P0DMS8,140
O95477,19
Q09428,6833
O60706,10060
P00519,25
P22303,43
P12821,1636
P32297,1136
P43681,1137
P02708,1134
P17787,1141
P30926,1143
P11230,1140
Q07001,1144
Q04844,1145
P07510,1146
P53396,47
P11229,1128
P08172,1129
P20309,1131
P08173,1132
P08912,1133
O14561,4706
Q01718,4158
Q04771,90
P35348,148
P35368,147
P25100,146
P08913,150
P18089,151
P18825,152
P00813,100
P07327,124
P00325,125
P00326,126
P08319,127
P28332,130
P40394,131
P11766,128
P08588,153
P07550,154
P13945,155
Q16186,11047
P06280,2717
P30556,185
P35869,196
P31749,207
P31751,208
Q9Y243,10000
P05091,217
P15121,231
Q9UM73,238
P9WQA9,887634
P24735,878149
P04746,279
P10275,367
Q9Y5C1,27329
O15123,285
Q5XXA6,55107
P16066,4881
P20594,4882
P01008,462
P19801,26
P21397,4128
P27338,4129
Q96BI3,51107
Q8WW43,83464
P10398,369
P05023,476
P50993,477
P13637,478
Q13733,480
P05026,481
P14415,482
P54709,483
P54710,486
P20648,495
P51164,496
P9WPV7,45425278
P9WPV7,886941
P9WPU7,886936
P9WPU5,45425284
P9WPU5,886932
P9WPV1,886967
P9WPV3,886934
P9WPV5,886939
P9WPU9,886929
P9WPS1,886937
Q76LX8,11093
P27037,92
Q13705,93
Q9H165,53335
P10415,596
P11274,613
Q93088,635
Q9H2M3,23743
P30411,624
P51451,640
Q13873,659
P36894,657
O00238,658
P51813,660
P15056,673
Q06187,695
P15538,1584
P19099,1585
P09871,716
P21730,728
P54289,781
Q9NY47,9254
Q8IZS8,55799
Q7Z3S7,93589
O00555,773
Q00975,774
Q13936,775
Q01668,776
Q15878,777
O60840,778
O43497,8913
O95180,8912
Q9P0X4,8911
Q13698,779
Q02641,782
Q08289,783
P54284,784
O00305,785
O43570,771
Q8N1Q1,377677
Q9ULX7,23632
P00915,759
P00918,760
P07451,761
P22748,762
P35218,763
Q9Y2D0,11238
P23280,765
P43166,766
Q16790,768
P06881,796
P10092,797
P30988,799
P0DP23,801
P0DP23,805
P0DP23,808
Q16602,10203
P41180,846
Q16204,8030
Q06432,786
Q9Y698,10369
O60359,10368
Q9UBN1,27092
Q9UF02,27091
Q9BXT2,59285
P62955,59284
Q8WXS5,59283
P32238,886
P24385,595
P51679,1233
P51681,1234
P15391,930
P11836,931
P20273,933
P06729,914
P20138,945
P28907,952
P04234,915
P07766,916
P09693,917
P01730,920
P31358,1043
P40259,974
P33681,941
P42081,942
P32320,978
P11802,1019
Q00534,1021
P06731,1048
Q16739,7357
P00751,629
P00746,1675
P13569,1080
P06276,590
Q9Y375,51103
P51788,1181
P56856,51208
Q9Y271,10800
Q13956,5149
P21554,1268
P18545,5148
P02452,1277
P08123,1278
P02458,1280
P02461,1281
P01024,718
P02462,1282
P08572,1284
Q01955,1285
P53420,1286
P29400,1287
Q14031,1288
P20908,1289
P05997,1290
P25940,50509
P01031,727
P12109,1291
P12110,1292
P12111,1293
A8TX70,256076
A6NMZ7,131873
Q02388,1294
P12107,1301
P13942,1302
P39059,1306
P39060,80781
P21964,1312
Q17RW2,255631
Q8IZC6,85301
Q2UY09,340267
P05108,1583
P05093,1586
P11511,1588
Q9HB55,64816
P08684,1576
P20815,1577
P24462,100861540
P24462,1551
P10613,3641571
P31327,1373
Q92523,1375
P23786,1376
Q96SW2,51185
P34998,1394
P07333,1436
P15509,1438
Q99062,1441
P16410,1493
Q13619,8451
P61073,7852
P0AEB2,93776850
P0AEB2,945222
P24228,75173356
P24228,947693
P08506,945455
P11926,4953
Q16531,1642
P20711,1644
P9WP31,888415
Q16832,4921
Q15392,1718
P0AC13,93778804
P0AC13,947691
Q9NYJ7,10683
P11532,1756
Q9Y6K1,1788
P26358,1786
P16444,1800
Q14181,23649
P28340,5424
P49005,5425
Q15054,10714
Q9HCU8,57804
Q07864,5426
P56282,5427
Q9NRF9,54107
P09884,5422
P04293,2703462
P27487,1803
P21728,1812
P14416,1813
P35462,1814
P21917,1815
P21918,1816
P0ABQ4,93777387
P0ABQ4,944790
P00374,1719
P9WNX1,887777
P25101,1909
P24530,1910
Q05639,1917
P13639,1938
P00533,1956
Q9GZT9,54583
Q96KS0,112398
Q9H6Z9,112399
P08246,1991
Q9HC35,27436
P9WNL9,886123
P04578,155971
Q99814,2034
P16422,4072
P21709,2041
P29317,1969
P29320,2042
P54764,2043
P54756,2044
Q9UF33,285220
Q15375,2045
P29322,2046
Q5JZY3,284656
P54762,2047
P29323,2048
P54753,2049
P54760,2050
O15197,2051
P19235,2057
P04626,2064
P21860,2065
Q15303,2066
P03372,2099
Q92731,2100
Q15910,2146
P00488,2162
P00742,2159
P03951,2160
P00748,2161
P12259,2153
P08709,2155
P00451,2157
P00740,2158
O00519,2166
P0AEK4,93775413
P0AEK4,945870
P55899,2217
Q9GZV9,8074
P11362,2260
P21802,2263
P22607,2261
P22455,2264
P09769,2268
P12255,69601663
P02671,2243
P02675,2244
P02679,2266
P02751,2335
P62942,2280
P36888,2322
P49354,2339
P49356,100529261
P49356,2342
Q04609,2346
P15328,2348
P14324,2224
P42685,2444
P23945,2492
