doid,disease_name,community,embedding
DOID:14227,azoospermia,21050,"[0.05463467165827751, 0.11954499781131744, -0.054878540337085724, -0.09836074709892273, 0.0639951229095459, 0.0011518073733896017, 0.009782386012375355, -0.02808978594839573, 0.028752248734235764, 0.0006487495265901089, 0.0985732451081276, -0.37080419063568115, -0.17923879623413086, 0.006091172806918621, 0.22006720304489136, -0.05694661661982536, -0.2172071635723114, -0.027893677353858948, 0.11346158385276794, -0.371146023273468, -0.3344860076904297, -0.0679703950881958, -0.15335622429847717, 0.04790879040956497, -0.09684862941503525, -0.024207524955272675, 0.22134464979171753, -0.2176184207201004, -0.21114465594291687, -0.06255374103784561, 0.16638797521591187, -0.02363405004143715, -0.24725797772407532, -0.31365054845809937, -0.23710796236991882, 0.18340656161308289, -0.11857905983924866, 0.29843956232070923, 0.057944923639297485, 0.08418893814086914, -0.0004663962754420936, 0.05652730166912079, -0.2695808708667755, 0.07516678422689438, 0.1702919751405716, -0.009017705917358398, -0.22482572495937347, 0.32842960953712463, -0.04857737571001053, -0.07534889131784439, -0.052615489810705185, -0.06240146979689598, -0.11824610084295273, 0.15763360261917114, -0.08673874288797379, 0.2061704844236374, 0.19410106539726257, -0.015256229788064957, 0.06321938335895538, -0.024570852518081665, -0.1149311438202858, -0.2471967488527298, 0.3560289740562439, -0.19391605257987976]"
DOID:9352,type 2 diabetes mellitus,20946,"[-0.24801456928253174, 0.05607437714934349, 0.03908684104681015, -0.2222580462694168, -0.23390738666057587, 0.12086130678653717, 0.27495262026786804, -0.12483768165111542, -0.12914404273033142, 0.08971408009529114, 0.17978185415267944, -0.2406274378299713, -0.020928435027599335, -0.2327023595571518, 0.025397978723049164, -0.23368915915489197, -0.2184184193611145, -0.2743529975414276, -0.11157237738370895, -0.1817716807126999, 0.07973466068506241, -0.3139598071575165, -0.1345694661140442, -0.2657686471939087, -0.000524323433637619, 0.11367879807949066, 0.010459963232278824, 0.02677597850561142, 0.059950582683086395, -0.05566440522670746, 0.22944465279579163, -0.035445623099803925, 0.1983901560306549, 0.21038761734962463, 0.07956068217754364, 0.11184442043304443, 0.29368042945861816, 0.19053052365779877, 0.2646195888519287, -0.010556241497397423, -0.10750818997621536, -0.16495884954929352, -0.309170663356781, 0.3282582461833954, -0.27903926372528076, -0.006825394928455353, -0.2955198585987091, 0.23612667620182037, -0.035642147064208984, 0.048088353127241135, 0.041698865592479706, -0.0434318482875824, 0.39617687463760376, 0.06474095582962036, 0.12296620011329651, -0.13594700396060944, 0.18732696771621704, 0.041173048317432404, -0.027134250849485397, 0.03554805740714073, 0.1063215583562851, -0.2988411784172058, 0.168695330619812, 0.03906571865081787]"
DOID:8778,Crohn's disease,21074,"[-0.3250821828842163, -0.0469994843006134, 0.26730647683143616, -0.4065248966217041, -0.30194878578186035, -0.19858382642269135, 0.10684474557638168, -0.056143827736377716, -0.1599051058292389, -0.015656478703022003, -0.09227311611175537, 0.0938931256532669, 0.11527387797832489, -0.2546141743659973, 0.032154813408851624, -0.01412154734134674, -0.2962094843387604, -0.465800940990448, -0.31768089532852173, 0.0051812659949064255, 0.038923248648643494, -0.45624545216560364, -0.05288724973797798, 0.20057463645935059, 0.07658784091472626, -0.035712409764528275, -0.11027044802904129, 0.04380318522453308, -0.10949502885341644, -0.02580787055194378, -0.0705418735742569, 0.48881062865257263, 0.26567623019218445, -0.07549262791872025, -0.017316697165369987, 0.0713551789522171, -0.03565036132931709, 0.2471705675125122, -0.29396623373031616, 0.19443584978580475, -0.16014717519283295, -0.34895801544189453, -0.045926742255687714, -0.06556162238121033, -0.026123059913516045, -0.10275915265083313, 0.0587519034743309, 0.30780208110809326, 0.17842553555965424, -0.1258164942264557, 0.008064692839980125, 0.04085453227162361, 0.19434583187103271, -0.15381872653961182, 0.35886508226394653, -0.05386503040790558, -0.10162230581045151, 0.03447363153100014, 0.025875113904476166, 0.1340789496898651, 0.2267686426639557, -0.26325610280036926, 0.14822624623775482, -0.14327937364578247]"
DOID:5612,spinal cancer,21052,"[-0.3317384123802185, -0.11844972521066666, 0.2296580672264099, -0.08475439995527267, 0.026863325387239456, -0.0728091448545456, -0.16962787508964539, 0.1365630030632019, -0.06456755101680756, 0.009283761493861675, -0.11891090124845505, -0.08699896931648254, -0.03943919017910957, 0.0950489193201065, -0.22150775790214539, -0.02480361983180046, -0.10816062986850739, -0.25527650117874146, 0.08065207302570343, -0.10803678631782532, 0.13574670255184174, -0.20056559145450592, -0.010320454835891724, 0.2161220759153366, -0.44242265820503235, 0.05958177149295807, -0.059368982911109924, 0.04725946485996246, -0.03438568115234375, -0.14033514261245728, -0.11132634431123734, 0.20606642961502075, -0.03982280194759369, -0.139095276594162, -0.054645977914333344, 0.21997742354869843, -0.004264332819730043, -0.056993044912815094, -0.20443344116210938, -0.16497254371643066, 0.167000412940979, 0.0773875042796135, -0.0603286474943161, 0.027533411979675293, 0.06917092204093933, -0.2756001949310303, 0.2789321541786194, -0.10721325874328613, -0.16349725425243378, 0.07843886315822601, -0.13186602294445038, 0.15145768225193024, 0.2228417992591858, -0.21021197736263275, 0.18456518650054932, 0.23283594846725464, -0.14326061308383942, 0.19026857614517212, 0.25482332706451416, 0.06548023968935013, -0.012464377097785473, 0.14915579557418823, -0.009298001416027546, 0.10606010258197784]"
DOID:363,uterine cancer,20949,"[-0.1361006498336792, 0.10442859679460526, 0.060948003083467484, -0.24755732715129852, -0.0526546984910965, -0.08244194090366364, -0.13279348611831665, -0.38301849365234375, -0.12636661529541016, 0.12408371269702911, 0.12836375832557678, -0.12848302721977234, -0.07429353892803192, -0.23141920566558838, 0.3381109833717346, -0.03765866160392761, 0.023380516096949577, -0.2675545811653137, -0.08828094601631165, 0.1175713911652565, 0.10982614755630493, -0.13103461265563965, 0.13384096324443817, -0.31607070565223694, 0.1339198350906372, 0.08194291591644287, 0.0012953504920005798, -0.09746943414211273, 0.07602325826883316, -0.03543056547641754, 0.14279349148273468, -0.3789660930633545, 0.07964706420898438, 0.2947959005832672, 0.2165513038635254, -0.13600188493728638, 0.16989535093307495, -0.008564503863453865, -0.0005561821162700653, 0.2556048035621643, 0.046521492302417755, 0.1644885390996933, 0.20701324939727783, 0.416919469833374, 0.06006663292646408, -0.15023332834243774, -0.022348083555698395, 0.023548774421215057, -0.034421153366565704, -0.1265554130077362, 0.09190116822719574, -0.08919845521450043, 0.45001882314682007, -0.18937921524047852, 0.0580248087644577, -0.0769660696387291, 0.25850725173950195, 0.19212736189365387, 0.20466123521327972, 0.07660279422998428, -0.03977419063448906, 0.0351109653711319, -0.034553997218608856, -0.36052754521369934]"
DOID:11054,urinary bladder cancer,20994,"[-0.10651956498622894, -0.23165911436080933, 0.12323233485221863, -0.4435006380081177, -0.21942280232906342, -0.01175476610660553, 0.04166814312338829, -0.12786389887332916, -0.0057560354471206665, 0.027836188673973083, 0.15526874363422394, -0.2640925347805023, -0.11333814263343811, -0.39040255546569824, 0.05235675722360611, -0.13044577836990356, 0.01305522583425045, 0.18626457452774048, 0.041561007499694824, -0.22788256406784058, 0.13570396602153778, 0.16963793337345123, 0.16722851991653442, -0.02728533372282982, -0.057106852531433105, -0.06733952462673187, -0.05911979079246521, 0.10137899219989777, -0.1023048460483551, -0.31959858536720276, -0.046197619289159775, -0.2812458276748657, -0.031731367111206055, -0.08182010054588318, 0.12186576426029205, 0.15064041316509247, -0.003980701323598623, 0.27516552805900574, 0.1697339415550232, -0.056965023279190063, -0.05770907923579216, -0.03663454204797745, 0.024714021012187004, 0.413554847240448, -0.036213286221027374, -0.18401210010051727, -0.0005220696330070496, 0.1360057294368744, 0.003125891089439392, 0.028762780129909515, -0.026502499356865883, -0.2519066631793976, 0.43984195590019226, 0.30905306339263916, 0.17485836148262024, 0.012146614491939545, 0.10432758927345276, 0.3800881803035736, 0.16396570205688477, -0.0008709914982318878, 0.1590525209903717, 0.24196934700012207, -0.20639130473136902, -0.30456674098968506]"
DOID:1793,pancreatic cancer,20951,"[-0.11094392836093903, -0.08010198175907135, 0.33012115955352783, -0.021291041746735573, -0.251046746969223, -0.09575033187866211, 0.20813517272472382, -0.1568184494972229, 0.08621583878993988, 0.3459801971912384, 0.4366578459739685, -0.08163680136203766, -0.09721692651510239, -0.09610797464847565, -0.14131824672222137, 0.29599693417549133, 0.06948492676019669, 0.32471394538879395, -0.02735813707113266, -0.0239240899682045, 0.1633838713169098, -0.19301675260066986, 0.0020519085228443146, -0.31749460101127625, -0.10198010504245758, -0.03544965758919716, -0.010502461344003677, -0.16175663471221924, -0.07645214349031448, -0.05754124000668526, -0.09619780629873276, -0.22645696997642517, 0.0988113060593605, 0.2684168219566345, 0.04983898624777794, 0.11064064502716064, 0.3469686210155487, 0.14579160511493683, 0.020443221554160118, 0.011487841606140137, -0.2844712734222412, -0.16673961281776428, 0.06480848789215088, 0.19479812681674957, -0.24200761318206787, 0.02345496602356434, -0.12689408659934998, -0.058825358748435974, -0.2892736792564392, 0.33424893021583557, 0.0684020146727562, -0.15695346891880035, 0.15183541178703308, 0.2807425856590271, 0.25616899132728577, -0.34140509366989136, -0.017915550619363785, 0.2655180096626282, -0.03236473351716995, 0.21346746385097504, 0.02325935661792755, -0.20471766591072083, 0.09835958480834961, -0.25171607732772827]"
DOID:8850,salivary gland cancer,21052,"[-0.19850823283195496, -0.04265303909778595, 0.35600244998931885, -0.3001255393028259, -0.1998230665922165, 0.009811270982027054, -0.08450853824615479, -0.017667461186647415, 0.1297495812177658, -0.07985638082027435, 0.051171887665987015, -0.08309860527515411, -0.06477689743041992, -0.08316405117511749, 0.24654293060302734, 0.12821364402770996, 0.17092931270599365, -0.051963552832603455, 0.15872666239738464, -0.05692446604371071, 0.16216278076171875, -0.13991321623325348, 0.006111079826951027, -0.19389639794826508, -0.06190742924809456, -0.31563419103622437, 0.08215352892875671, 0.08839101344347, -0.1562477946281433, -0.18214337527751923, 0.008138086646795273, -0.266064316034317, 0.09199231117963791, -0.4330609142780304, -0.05526892840862274, 0.24974726140499115, -0.4501585364341736, 0.3222728967666626, 0.04228512570261955, -0.1754750907421112, -0.04328431189060211, -0.2083597332239151, -0.0736888200044632, 0.33113110065460205, 0.10278978943824768, 0.016576234251260757, 0.0691017210483551, 0.29299890995025635, -0.1528739184141159, 0.2124100625514984, -0.12376000732183456, 0.24497386813163757, -0.2006261795759201, -0.06739728152751923, 0.46633902192115784, -0.031901516020298004, 0.02156543731689453, 0.03755978122353554, 0.020636867731809616, -0.23095840215682983, 0.11308062076568604, 0.17272433638572693, -0.020675135776400566, -0.2185487449169159]"
DOID:0060119,pharynx cancer,20994,"[-0.0918806865811348, -0.18117061257362366, 0.04902438819408417, 0.03598761558532715, -0.02536630816757679, 0.15413478016853333, 0.3189355134963989, -0.178028404712677, 0.06992210447788239, 0.012186132371425629, 0.005908830091357231, -0.10386186838150024, -0.4305405020713806, 0.10362996906042099, 0.03720525652170181, 0.08892413228750229, 0.14771418273448944, -0.09582042694091797, -0.14408600330352783, 0.23324128985404968, 0.042061664164066315, -0.17371132969856262, -0.15572801232337952, 0.07866492867469788, 0.08641160279512405, 0.2977317273616791, 0.05910901725292206, -0.47106876969337463, 0.02652892842888832, -0.06185397505760193, 0.12623417377471924, -0.2229258418083191, 0.19477838277816772, -0.2591509222984314, 0.08300961554050446, 0.021466687321662903, -0.40887925028800964, 0.06513074040412903, -0.1519937366247177, -0.061326101422309875, 0.12346667051315308, -0.07029488682746887, 0.32907551527023315, -0.01668454334139824, 0.12423039227724075, -0.2413671314716339, 0.1847470998764038, 0.21483328938484192, 0.11174677312374115, 0.09141907095909119, -0.29085853695869446, 0.17565494775772095, -0.020239083096385002, -0.06267602741718292, -0.022477827966213226, -0.34613990783691406, 0.17983023822307587, 0.36504459381103516, -0.3814447522163391, 0.04602587968111038, -0.0011391518637537956, 0.045790016651153564, 0.0004377216100692749, 0.302126944065094]"
DOID:10763,hypertension,20946,"[-0.4317694306373596, 0.03225409612059593, 0.21278682351112366, -0.04415087401866913, -0.09174548089504242, 0.09267568588256836, -0.04424935579299927, -0.13037855923175812, -0.07431468367576599, -0.08333621174097061, 0.19044847786426544, -0.10051312297582626, 0.000964590348303318, 0.10478320717811584, 0.1065196692943573, 0.12238003313541412, 0.029495881870388985, -0.27467942237854004, -0.424998939037323, -0.08693630248308182, 0.13020431995391846, -0.4179181754589081, 0.030633360147476196, -0.011565770953893661, -0.23990848660469055, -0.009105764329433441, 0.062445446848869324, -0.13860775530338287, 0.15669360756874084, -0.26080039143562317, 0.055358242243528366, -0.13340620696544647, 0.299411803483963, 0.13094188272953033, 0.07254714518785477, 0.09980610758066177, -0.18397146463394165, -0.00476035475730896, 0.32134321331977844, -0.24702860414981842, 0.06573508679866791, -0.133780837059021, 0.03195739537477493, -0.011168573051691055, -0.06281372159719467, 0.05604647099971771, -0.027835704386234283, 0.11160648614168167, -0.15744447708129883, 0.09516990929841995, 0.06397448480129242, -0.316433310508728, 0.06653173267841339, -0.009466990828514099, 0.3118518888950348, -0.1674155592918396, -0.2529244124889374, 0.24519166350364685, 0.04384198412299156, -0.05528295785188675, 0.04083768278360367, -0.1896819919347763, 0.12459994852542877, -0.19589930772781372]"
