umls_cui,sideeffect_name,drug_count
C0027497,null,1006
C0018681,null,948
C0042963,null,910
C0015230,null,904
C0012833,null,882
C0011991,null,830
C0033774,null,803
C0011603,null,788
C0004093,null,766
C0020517,null,758
C0000737,null,700
C0042109,null,671
C0015967,null,670
C0017178,null,632
C0015672,null,629
C0009806,null,625
C0030193,null,618
C0917801,null,613
C0013395,null,610
C0013404,null,594
C2830004,null,593
C0030554,null,587
C0687713,null,569
C0020649,null,565
C1443060,null,561
C0027765,null,550
C0232462,null,550
C0003123,null,533
C0040034,null,532
C0039231,null,530
C0009450,null,517
C0178298,null,516
C0003862,null,512
C0043352,null,510
C0002792,null,509
C0020538,null,503
C0013604,null,501
C0231528,null,500
C0009676,null,498
C0948594,null,497
C0003467,null,490
C0010200,null,490
C0008031,null,482
C0020458,null,481
C0037274,null,478
C0036974,null,475
C0036572,null,471
C0030252,null,467
C0042571,null,457
C0039070,null,457
C0002994,null,456
C0023530,null,456
C0231218,null,445
C0004604,null,445
C0002871,null,443
C0234215,null,442
C0085631,null,433
C0344232,null,428
C0040822,null,427
C0041657,null,415
C0004936,null,414
C0162429,null,414
C0027769,null,410
C0013378,null,407
C0025061,null,407
C0037763,null,404
C0042373,null,404
C0041834,null,402
C0002170,null,399
C0016204,null,395
C0085593,null,388
C0021053,null,385
C0003811,null,383
C0018799,null,378
C0016382,null,371
C0015397,null,365
C0233494,null,363
C0085649,null,358
C0009782,null,358
C0031350,null,350
C0019080,null,349
C0040264,null,348
C0042075,null,348
C0035455,null,344
C0014742,null,341
C0019158,null,338
C0428977,null,337
C0018524,null,323
C0037199,null,323
C0020580,null,321
C0014591,null,319
C0267792,null,319
C0042029,null,318
C3665347,null,312
C0851341,null,310
C0018965,null,309
C0038990,null,309
C0001824,null,302
C0027051,null,300
C0038325,null,299
C0009763,null,298
C0038362,null,297
C0041969,null,297
C0011570,null,297
C0022346,null,296
C0031117,null,296
C0032285,null,295
C0043096,null,293
C0041912,null,292
C0020456,null,289
C0013428,null,288
C0242350,null,285
C0043094,null,284
C0027947,null,281
C0035078,null,279
C0030305,null,276
C0013144,null,275
C0042023,null,275
C0006277,null,270
C0021400,null,265
C0162830,null,263
C0002962,null,260
C0030312,null,256
C0151905,null,254
C0700590,null,252
C0014457,null,252
C0151904,null,252
C0017152,null,251
C0026821,null,251
C0948089,null,250
C0006145,null,246
C0851353,null,245
C0011168,null,244
C0151786,null,242
C0232487,null,241
C0006266,null,239
C0027441,null,238
C0004096,null,238
C0000731,null,237
C0014518,null,237
C0080274,null,233
C0151766,null,232
C0151908,null,231
C0020621,null,231
C0020651,null,230
C0085633,null,230
C0011175,null,230
C0232492,null,227
C0004134,null,227
C0022107,null,225
C0018790,null,225
C0542571,null,223
C0149931,null,222
C0033975,null,220
C0030196,null,219
C0340865,null,215
C0038454,null,209
C0017181,null,207
C0012569,null,207
C0003864,null,206
C0232461,null,204
C0235431,null,204
C0023380,null,202
C0004238,null,200
C0020625,null,199
C0600142,null,198
C0020615,null,198
C0018801,null,196
C0233472,null,194
C0011606,null,194
C0547030,null,194
C0002622,null,193
C0039971,null,192
C0029408,null,192
C0011124,null,192
C0027424,null,190
C1565489,null,190
C0034150,null,189
C0022660,null,189
C0085605,null,188
C0855242,null,187
C0151827,null,184
C0013595,null,184
C0017160,null,184
C0018802,null,184
C0086565,null,182
C0002878,null,181
C0011849,null,179
C0040046,null,178
C0085932,null,177
C0013456,null,176
C0497156,null,176
C0032617,null,175
C0038999,null,174
C0235146,null,173
C0851578,null,172
C0349506,null,171
C3263723,null,170
C0026826,null,169
C0236075,null,168
C0424295,null,166
C0233407,null,166
C0018418,null,164
C0243026,null,164
C0852911,null,164
C0027651,null,163
C3665386,null,162
C0423791,null,162
C0013491,null,162
C0034063,null,161
C0314719,null,161
C0442874,null,159
C0011053,null,159
C1368065,null,159
C0149745,null,158
C0014868,null,158
C0851354,null,156
C0234458,null,155
C0220870,null,155
C0031542,null,155
C0085636,null,155
C0023218,null,153
C0009319,null,153
C1306341,null,151
C0034065,null,151
C0009421,null,151
C0002874,null,150
C0151539,null,150
